year,team_id,team_name,wins,losses,ties,total_games
2018,4,Adrian,3,6,13,22
2018,2798,Albertus Magnus,0,0,3,3
2018,934,Alderson Broaddus,2,9,11,22
2018,938,Alvernia,5,6,17,28
2018,966,Arcadia,9,7,13,29
2018,40,Augustana (IL),3,9,16,28
2018,42,Aurora,7,2,16,25
2018,47,Ball St.,7,7,14,28
2018,962,Bard,0,12,13,25
2018,15646,Barton,7,6,13,26
2018,58,Baruch,3,6,19,28
2018,2683,Belmont Abbey,4,7,16,27
2018,296,Benedictine (IL),8,3,13,24
2018,79,Brooklyn,3,5,14,22
2018,77,BYU,10,4,13,27
2018,1305,Cairn,5,6,16,27
2018,105,Cal Lutheran,10,3,13,26
2018,121,Carthage,12,0,14,26
2018,480,CCNY,6,0,15,21
2018,1013,Charleston (WV),7,1,19,27
2018,1023,Coker,5,4,15,24
2018,30199,Concordia (CA),5,6,18,29
2018,1036,Concordia Wisconsin,0,12,14,26
2018,101,CSUN,7,4,14,25
2018,1059,D'Youville,3,8,13,24
2018,1332,Dominican (IL),7,3,18,28
2018,203,East. Mennonite,12,5,15,32
2018,1064,Eastern Nazarene,4,6,15,25
2018,213,Elmira,11,4,19,34
2018,532,Elms,8,3,12,23
2018,214,Emerson,6,2,15,23
2018,30193,Emmanuel (GA),4,8,14,26
2018,215,Emmanuel (MA),3,8,21,32
2018,8981,Endicott,10,1,14,25
2018,1072,Erskine,2,9,16,27
2018,11538,Fontbonne,7,2,19,28
2018,248,George Mason,6,7,15,28
2018,1104,Grand Canyon,11,5,12,28
2018,1111,Greenville,6,7,14,27
2018,275,Harvard,1,8,16,25
2018,277,Hawaii,8,1,16,25
2018,281,Hiram,3,8,20,31
2018,292,Hunter,3,4,25,32
2018,308,Fort Wayne,9,3,16,28
2018,321,John Jay,4,3,17,24
2018,22626,Johnson & Wales (RI),4,11,18,33
2018,325,Juniata,7,10,15,32
2018,329,Kean,13,2,20,35
2018,1159,Keuka,2,7,14,23
2018,30051,King (TN),8,2,15,25
2018,1164,Lakeland,4,8,16,28
2018,30085,Lancaster Bible,7,3,15,25
2018,8486,Lasell,1,10,18,29
2018,13302,Lees-McRae,2,9,14,25
2018,279,Lehman,4,5,22,31
2018,24317,Lesley,0,0,22,22
2018,354,Lewis,8,4,16,28
2018,1174,Limestone,4,11,12,27
2018,1176,Lincoln Memorial,5,6,13,24
2018,30136,Lindenwood (MO),6,7,11,24
2018,99,Long Beach St.,13,0,12,25
2018,364,Loras,5,4,14,23
2018,371,Loyola Chicago,10,3,14,27
2018,1194,Maranatha Baptist,2,10,16,28
2018,1196,Marian (WI),5,9,12,26
2018,394,Marymount (VA),13,4,10,27
2018,30138,McKendree,5,6,14,25
2018,23725,Medaille,3,5,20,28
2018,403,Medgar Evers,2,1,16,19
2018,411,Messiah,5,2,16,23
2018,16142,Misericordia,7,8,15,30
2018,398,MIT,8,2,16,26
2018,27901,Mount Ida,7,6,21,34
2018,1245,Mount Olive,7,3,18,28
2018,20220,MSOE,3,3,18,24
2018,8567,Mt. St. Joseph,8,3,14,25
2018,451,CMSV,3,8,19,30
2018,461,Nazareth,9,6,14,29
2018,1254,Neumann,0,14,8,22
2018,319,New Jersey City,4,4,19,27
2018,21772,Newbury,1,7,14,22
2018,471,NJIT,2,8,16,26
2018,492,North Central (IL),7,6,11,24
2018,9223,North Greenville,6,8,13,27
2018,479,NYU,6,3,15,24
2018,518,Ohio St.,10,2,13,25
2018,525,Olivet,4,4,14,22
2018,539,Penn St.,8,2,17,27
2018,25719,Penn St.-Altoona,7,8,14,29
2018,538,Penn St.-Behrend,5,6,16,27
2018,541,Pepperdine,7,3,12,22
2018,544,Pine Manor,0,3,11,14
2018,554,Princeton,1,10,15,26
2018,30029,Purchase,0,4,23,27
2018,11504,Queens (NC),3,10,13,26
2018,561,Quincy,8,5,17,30
2018,564,Ramapo,4,7,17,28
2018,569,Regis (MA),1,4,19,24
2018,18422,Rivier,9,5,15,29
2018,589,Rutgers-Newark,10,1,16,27
2018,590,Sacred Heart,2,6,15,23
2018,11036,Sage Colleges,7,6,14,27
2018,600,Saint Francis (PA),7,8,14,29
2018,30163,Sarah Lawrence,0,5,20,25
2018,657,Southern California,4,10,12,26
2018,30164,Southern Va.,8,4,9,21
2018,1379,Southern Vt.,0,7,15,22
2018,673,Springfield,13,1,16,30
2018,9684,St. Elizabeth,3,9,14,26
2018,601,St. John Fisher,7,8,14,29
2018,30072,St. Joseph's (Brkln),0,5,15,20
2018,1340,St. Joseph's (L.I.),7,5,16,28
2018,674,Stanford,3,11,11,25
2018,675,Staten Island,1,3,19,23
2018,679,Stevens,10,3,15,28
2018,21852,Stevenson,7,5,16,28
2018,475,SUNY New Paltz,5,4,16,25
2018,9500,SUNY Poly,4,9,15,28
2018,707,Thiel,5,8,14,27
2018,109,UC Irvine,10,3,15,28
2018,112,UC San Diego,8,6,13,27
2018,104,UC Santa Barbara,4,4,15,23
2018,113,UC Santa Cruz,19,6,11,36
2018,110,UCLA,14,2,12,28
2018,737,Vassar,9,3,14,26
2018,761,Wells,11,4,18,33
2018,762,Wentworth,9,4,18,31
2018,783,Widener,0,5,14,19
2018,784,Wilkes,4,11,15,30
2018,12973,Wilson,4,1,15,20
2018,806,Wittenberg,9,6,10,25
2018,814,Yeshiva,0,3,19,22
2018,2730,York (NY),1,6,17,24
