game_date,site,team,tdiv,opponent,odiv,win,lose,w3,w4,w5,l3,l4,l5,e_m,e_w3,e_w4,e_w5,e_l3,e_l4,e_l5
2017-02-03,Away,Adrian,D3,Greenville,D3,0.061,0.939,0.007,0.018,0.036,0.525,0.304,0.110,154.6,139.6,182.3,206.0,128.3,174.8,203.7
2017-02-04,Away,Adrian,D3,Fontbonne,D3,0.006,0.994,0.001,0.001,0.004,0.778,0.187,0.028,134.7,141.8,182.8,204.6,123.2,170.4,200.9
2017-02-04,Home,Albertus Magnus,D3,Emmanuel (MA),D3,0.932,0.068,0.509,0.308,0.115,0.008,0.020,0.040,155.8,128.5,175.0,203.8,139.4,182.3,206.0
2017-02-06,Home,Albertus Magnus,D3,Brooklyn,D3,0.974,0.026,0.641,0.265,0.068,0.003,0.007,0.017,145.6,126.2,173.1,202.6,140.5,182.6,205.5
2017-02-08,Away,Albertus Magnus,D3,CCNY,D3,0.931,0.069,0.506,0.308,0.117,0.008,0.020,0.041,156.0,128.6,175.1,203.9,139.4,182.3,206.1
2017-02-03,Away,Alderson Broaddus,D1,Sacred Heart,D1,0.004,0.996,0.000,0.001,0.003,0.810,0.165,0.021,132.1,142.1,182.8,204.3,122.3,169.7,200.3
2017-02-04,Away,Alderson Broaddus,D1,Harvard,D1,0.003,0.997,0.000,0.001,0.002,0.822,0.156,0.019,131.0,142.2,182.8,204.1,121.9,169.3,200.1
2017-02-05,Away,Alderson Broaddus,D1,SUNY New Paltz,D3,0.032,0.968,0.003,0.009,0.020,0.615,0.276,0.077,147.6,140.3,182.6,205.6,126.7,173.5,202.9
2017-02-07,Away,Alvernia,D3,Wilson,D3,0.912,0.088,0.465,0.314,0.132,0.011,0.026,0.051,159.1,129.2,175.6,204.2,139.1,182.1,206.2
2017-02-04,Away,Arcadia,D3,Hunter,D3,0.037,0.963,0.004,0.010,0.023,0.596,0.283,0.084,149.1,140.2,182.5,205.7,127.1,173.8,203.1
2017-02-04,Home,Ball St.,D1,McKendree,D1,0.925,0.075,0.493,0.311,0.122,0.009,0.022,0.044,157.0,128.8,175.2,204.0,139.3,182.2,206.1
2017-02-07,Home,Ball St.,D1,Fort Wayne,D1,0.954,0.046,0.566,0.293,0.094,0.005,0.013,0.028,151.4,127.6,174.2,203.3,139.9,182.4,205.8
