BEGIN
CREATE TABLE
INSERT 0 125
 rk  |        school        | div |  str  |  ofs  |  dfs  |  sos  
-----+----------------------+-----+-------+-------+-------+-------
   1 | Long Beach St.       | D1  | 1.899 | 1.378 | 0.726 | 1.233
   2 | Hawaii               | D1  | 1.762 | 1.327 | 0.753 | 1.261
   3 | Ohio St.             | D1  | 1.676 | 1.294 | 0.773 | 1.140
   4 | BYU                  | D1  | 1.636 | 1.279 | 0.782 | 1.297
   5 | UCLA                 | D1  | 1.605 | 1.267 | 0.789 | 1.283
   6 | UC Irvine            | D1  | 1.472 | 1.213 | 0.824 | 1.315
   7 | Lewis                | D1  | 1.357 | 1.165 | 0.858 | 1.135
   8 | Springfield          | D3  | 1.349 | 1.161 | 0.861 | 0.637
   9 | Pepperdine           | D1  | 1.281 | 1.132 | 0.883 | 1.305
  10 | Ball St.             | D1  | 1.268 | 1.126 | 0.888 | 1.106
  11 | Stanford             | D1  | 1.261 | 1.123 | 0.891 | 1.241
  12 | UC Santa Barbara     | D1  | 1.244 | 1.115 | 0.897 | 1.216
  13 | Loyola Chicago       | D1  | 1.239 | 1.113 | 0.898 | 1.167
  14 | Southern California  | D1  | 1.226 | 1.107 | 0.903 | 1.297
  15 | CSUN                 | D1  | 1.193 | 1.092 | 0.916 | 1.243
  16 | Penn St.             | D1  | 1.150 | 1.072 | 0.933 | 1.083
  17 | Grand Canyon         | D1  | 1.147 | 1.071 | 0.934 | 1.126
  18 | Concordia (CA)       | D1  | 1.057 | 1.028 | 0.973 | 1.051
  19 | George Mason         | D1  | 1.045 | 1.022 | 0.978 | 1.005
  20 | Saint Francis (PA)   | D1  | 1.030 | 1.015 | 0.985 | 1.073
  21 | Lindenwood (MO)      | D1  | 1.028 | 1.014 | 0.986 | 1.110
  22 | Barton               | D1  | 1.025 | 1.012 | 0.988 | 0.658
  23 | Sacred Heart         | D1  | 1.014 | 1.007 | 0.993 | 0.912
  24 | Harvard              | D1  | 1.000 | 1.000 | 1.000 | 1.016
  25 | Princeton            | D1  | 0.999 | 1.000 | 1.000 | 1.009
  26 | UC San Diego         | D1  | 0.992 | 0.996 | 1.004 | 1.312
  27 | McKendree            | D1  | 0.989 | 0.995 | 1.005 | 1.121
  28 | California Baptist   | D1  | 0.972 | 0.986 | 1.015 | 1.190
  29 | Stevens              | D3  | 0.956 | 0.978 | 1.023 | 0.590
  30 | NJIT                 | D1  | 0.952 | 0.976 | 1.025 | 0.925
  31 | King (TN)            | D1  | 0.949 | 0.974 | 1.026 | 0.638
  32 | UC Santa Cruz        | D3  | 0.910 | 0.954 | 1.048 | 0.681
  33 | Fort Wayne           | D1  | 0.905 | 0.951 | 1.051 | 1.122
  34 | Dominican (IL)       | D3  | 0.870 | 0.933 | 1.072 | 0.547
  35 | Carthage             | D3  | 0.867 | 0.931 | 1.074 | 0.570
  36 | Wentworth            | D3  | 0.820 | 0.905 | 1.104 | 0.534
  37 | SUNY New Paltz       | D3  | 0.815 | 0.903 | 1.108 | 0.644
  38 | Lasell               | D3  | 0.811 | 0.900 | 1.110 | 0.508
  39 | Vassar               | D3  | 0.809 | 0.900 | 1.112 | 0.633
  40 | Quincy               | D1  | 0.806 | 0.898 | 1.114 | 1.061
  41 | Mount Olive          | D1  | 0.782 | 0.884 | 1.131 | 0.691
  42 | MSOE                 | D3  | 0.744 | 0.862 | 1.159 | 0.556
  43 | MIT                  | D3  | 0.739 | 0.860 | 1.163 | 0.549
  44 | Coker                | D1  | 0.702 | 0.838 | 1.194 | 0.688
