game_id	section_id	team_id	team_name	team_url	period_scores
3980811	0	586	Rust	http://stats.ncaa.org/team/586/12382	[1, 7, 5, 0]
3980811	1	1023	Coker	http://stats.ncaa.org/team/1023/12382	[25, 25, 25, 3]
3980811	2		Ties		[0, 1, 0, 1]
3980811	3		Lead changes		[0, 0, 0, 0]
3983509	0	30175	Holy Names	http://stats.ncaa.org/team/30175/12382	[22, 21, 14, 0]
3983509	1	113	UC Santa Cruz	http://stats.ncaa.org/team/113/12382	[25, 25, 25, 3]
3983509	2		Ties		[0]
3983509	3		Lead changes		[0]
3985085	0	1059	D'Youville	http://stats.ncaa.org/team/1059/12382	[25, 17, 25, 25, 3]
3985085	1	451	Mt. St. Vincent	http://stats.ncaa.org/team/451/12382	[21, 25, 17, 19, 1]
3985085	2		Ties		[4, 3, 1, 9, 17]
3985085	3		Lead changes		[1, 0, 0, 2, 3]
3985093	0	451	Mt. St. Vincent	http://stats.ncaa.org/team/451/12382	[9, 13, 21, 0]
3985093	1	21852	Stevenson	http://stats.ncaa.org/team/21852/12382	[25, 25, 25, 3]
3985093	2		Ties		[0, 2, 5, 7]
3985093	3		Lead changes		[0, 0, 2, 2]
3985499	0	79	Brooklyn	http://stats.ncaa.org/team/79/12382	[19, 8, 9, 0]
3985499	1		Mo. Baptist		[25, 25, 25, 3]
3985499	2		Ties		[0]
3985499	3		Lead changes		[0]
3985608	0	22626	Johnson & Wales (RI)	http://stats.ncaa.org/team/22626/12382	[20, 16, 22, 0]
3985608	1	329	Kean	http://stats.ncaa.org/team/329/12382	[25, 25, 25, 3]
3985608	2		Ties		[1, 1, 1, 3]
3985608	3		Lead changes		[0, 1, 0, 1]
3985613	0	21852	Stevenson	http://stats.ncaa.org/team/21852/12382	[25, 23, 19, 23, 1]
3985613	1	329	Kean	http://stats.ncaa.org/team/329/12382	[17, 25, 25, 25, 3]
3985613	2		Ties		[5, 3, 1, 5, 14]
3985613	3		Lead changes		[3, 2, 0, 2, 7]
3985692	0	934	Alderson Broaddus	http://stats.ncaa.org/team/934/12382	[25, 26, 20, 15, 16, 3]
3985692	1	203	East. Mennonite	http://stats.ncaa.org/team/203/12382	[19, 24, 25, 25, 14, 2]
3985692	2		Ties		[6, 6, 6, 3, 3, 24]
3985692	3		Lead changes		[2, 6, 2, 3, 1, 14]
3985715	0	121	Carthage	http://stats.ncaa.org/team/121/12382	[15, 25, 25, 25, 3]
3985715	1	561	Quincy	http://stats.ncaa.org/team/561/12382	[25, 18, 21, 20, 1]
3985715	2		Ties		[3, 0, 5, 3, 11]
3985715	3		Lead changes		[2, 0, 1, 1, 4]
3985731	0	364	Loras	http://stats.ncaa.org/team/364/12382	[19, 20, 20, 0]
3985731	1	1164	Lakeland	http://stats.ncaa.org/team/1164/12382	[25, 25, 25, 3]
3985731	2		Ties		[2, 6, 6, 14]
3985731	3		Lead changes		[0, 1, 1, 2]
3986530	0	121	Carthage	http://stats.ncaa.org/team/121/12382	[21, 23, 23, 0]
3986530	1	30136	Lindenwood (MO)	http://stats.ncaa.org/team/30136/12382	[25, 25, 25, 3]
3986530	2		Ties		[8, 11, 6, 25]
3986530	3		Lead changes		[4, 6, 3, 13]
3986889	0	79	Brooklyn	http://stats.ncaa.org/team/79/12382	[19, 19, 18, 0]
3986889	1	11538	Fontbonne	http://stats.ncaa.org/team/11538/12382	[25, 25, 25, 3]
3986889	2		Ties		[0, 3, 9, 12]
3986889	3		Lead changes		[0, 1, 5, 6]
3987299	0	673	Springfield	http://stats.ncaa.org/team/673/12382	[21, 25, 25, 23, 17, 2]
3987299	1	30199	Concordia (CA)	http://stats.ncaa.org/team/30199/12382	[25, 23, 23, 25, 19, 3]
3987299	2		Ties		[4, 9, 1, 6, 6, 26]
3987299	3		Lead changes		[2, 5, 1, 5, 0, 13]
3987336	0	1059	D'Youville	http://stats.ncaa.org/team/1059/12382	[29, 22, 25, 17, 13, 2]
3987336	1	292	Hunter	http://stats.ncaa.org/team/292/12382	[27, 25, 17, 25, 15, 3]
3987336	2		Ties		[10, 6, 0, 2, 3, 21]
3987336	3		Lead changes		[5, 2, 0, 1, 1, 9]
3987337	0	292	Hunter	http://stats.ncaa.org/team/292/12382	[19, 26, 25, 13, 15, 3]
